,model_size=117M Tg=256 cache_length=0,model_size=117M Tg=256 cache_length=64.0,model_size=117M Tg=256 cache_length=128.0,model_size=117M Tg=256 cache_length=256,model_size=117M Tg=512 cache_length=0,model_size=117M Tg=512 cache_length=128.0,model_size=117M Tg=512 cache_length=256.0,model_size=117M Tg=512 cache_length=512,model_size=117M Tg=1024 cache_length=0,model_size=117M Tg=1024 cache_length=256.0,model_size=117M Tg=1024 cache_length=512.0,model_size=117M Tg=1024 cache_length=1024
runtime_mean(ms),14723.952514648438,14858.72998046875,14958.626831054688,14960.9287109375,55713.8193359375,55915.98291015625,56238.6806640625,56323.56201171875,244535.734375,244483.8203125,241699.513671875,241192.318359375
runtime_std(ms),69.732556761381,42.25493632772549,33.480109421258625,31.403553853621386,52.23494907968573,88.83184777530198,30.974451781587046,40.63340420870641,199.51160613218798,175.08426438086622,518.0363834778219,124.85157348411249
mem_mean(b),226022735872.0,229083319296.0,227719470080.0,228307286016.0,553299294208.0,551017741312.0,550739127296.0,550954691072.0,1647806530560.0,1646617399296.0,1645977880064.0,1646901463040.0
mem_std(b),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t1_meam(ms),14590.483140230179,14710.267185807228,14808.942587018013,14814.285423755646,55404.70367228985,55597.43598496914,55857.26101243496,55939.440435647964,243670.51143467426,243571.31640648842,241092.77632129192,240605.43197655678
t1_std(ms),68.94998073363878,24.28502217175146,28.486775566787575,14.336443834379045,32.42241918307636,86.78197191850265,17.256140919726494,22.63049184636743,185.72056279353322,158.80527244383413,508.3032073421553,128.1714160842542
