,model_size=117M Tg=256 cache_length=0,model_size=117M Tg=512 cache_length=0,model_size=117M Tg=1024 cache_length=0,model_size=345M Tg=256 cache_length=0,model_size=345M Tg=512 cache_length=0,model_size=345M Tg=1024 cache_length=0,model_size=762M Tg=256 cache_length=0,model_size=762M Tg=512 cache_length=0,model_size=762M Tg=1024 cache_length=0,model_size=1542M Tg=256 cache_length=0,model_size=1542M Tg=512 cache_length=0,model_size=1542M Tg=1024 cache_length=0
runtime_mean(ms),4260.6873779296875,8809.008178710938,17183.37646484375,4309.138122558594,8599.8994140625,17324.298583984375,4245.48974609375,8672.955200195312,17307.763427734375,4315.167541503906,8521.776245117188,17281.657958984375
runtime_std(ms),2.308942348928337,550.8864747519119,26.047173560707748,1.289402435737076,6.2913549379676645,18.786387204306227,21.002923529211607,3.2734098023583424,109.64106662955408,4.795930374511443,10.440117975230452,21.18117963290127
