,model_size=117M Tg=256 cache_length=0,model_size=117M Tg=256 cache_length=64.0,model_size=117M Tg=256 cache_length=128.0,model_size=117M Tg=256 cache_length=256,model_size=117M Tg=512 cache_length=0,model_size=117M Tg=512 cache_length=128.0,model_size=117M Tg=512 cache_length=256.0,model_size=117M Tg=512 cache_length=512,model_size=117M Tg=1024 cache_length=0,model_size=117M Tg=1024 cache_length=256.0,model_size=117M Tg=1024 cache_length=512.0,model_size=117M Tg=1024 cache_length=1024,model_size=345M Tg=256 cache_length=0,model_size=345M Tg=256 cache_length=64.0,model_size=345M Tg=256 cache_length=128.0,model_size=345M Tg=256 cache_length=256,model_size=345M Tg=512 cache_length=0,model_size=345M Tg=512 cache_length=128.0,model_size=345M Tg=512 cache_length=256.0,model_size=345M Tg=512 cache_length=512,model_size=345M Tg=1024 cache_length=0,model_size=345M Tg=1024 cache_length=256.0,model_size=345M Tg=1024 cache_length=512.0,model_size=345M Tg=1024 cache_length=1024,model_size=762M Tg=256 cache_length=0,model_size=762M Tg=256 cache_length=64.0,model_size=762M Tg=256 cache_length=128.0,model_size=762M Tg=256 cache_length=256,model_size=762M Tg=512 cache_length=0,model_size=762M Tg=512 cache_length=128.0,model_size=762M Tg=512 cache_length=256.0,model_size=762M Tg=512 cache_length=512,model_size=762M Tg=1024 cache_length=0,model_size=762M Tg=1024 cache_length=256.0,model_size=762M Tg=1024 cache_length=512.0,model_size=762M Tg=1024 cache_length=1024,model_size=1542M Tg=256 cache_length=0,model_size=1542M Tg=256 cache_length=64.0,model_size=1542M Tg=256 cache_length=128.0,model_size=1542M Tg=256 cache_length=256,model_size=1542M Tg=512 cache_length=0,model_size=1542M Tg=512 cache_length=128.0,model_size=1542M Tg=512 cache_length=256.0,model_size=1542M Tg=512 cache_length=512,model_size=1542M Tg=1024 cache_length=0,model_size=1542M Tg=1024 cache_length=256.0,model_size=1542M Tg=1024 cache_length=512.0,model_size=1542M Tg=1024 cache_length=1024
runtime_mean(ms),4355.9658203125,4352.0732421875,4293.923828125,4411.30126953125,8717.60546875,8802.3642578125,8660.2587890625,8628.611328125,17437.4453125,17543.728515625,17414.3359375,17151.333984375,4375.92724609375,4366.4853515625,4406.8623046875,4362.0986328125,8801.216796875,8675.0478515625,8710.8701171875,8785.63671875,17635.451171875,17292.07421875,17620.080078125,17627.533203125,4342.40185546875,4320.451171875,4351.70947265625,4316.69482421875,8754.234375,8757.3212890625,8703.2900390625,8698.4375,17029.78515625,17428.0625,17424.572265625,17381.99609375,4345.63720703125,4364.216796875,4298.5,4302.890625,8637.0712890625,8624.673828125,8595.787109375,8673.984375,17322.33984375,17427.744140625,17277.58203125,17543.296875
runtime_std(ms),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
