,Tc=128 Tg=128 cache_length=0,Tc=128 Tg=128 cache_length=32.0,Tc=128 Tg=128 cache_length=64.0,Tc=128 Tg=128 cache_length=96.0,Tc=128 Tg=128 cache_length=128,Tc=256 Tg=256 cache_length=0,Tc=256 Tg=256 cache_length=64.0,Tc=256 Tg=256 cache_length=128.0,Tc=256 Tg=256 cache_length=192.0,Tc=256 Tg=256 cache_length=256,Tc=512 Tg=512 cache_length=0,Tc=512 Tg=512 cache_length=128.0,Tc=512 Tg=512 cache_length=256.0,Tc=512 Tg=512 cache_length=384.0,Tc=512 Tg=512 cache_length=512
runtime_mean(ms),569.7763767242432,490.2007007598877,482.3337059020996,472.1599998474121,454.44571113586426,1382.6626586914062,1326.108901977539,1245.1386642456055,1142.6840286254883,1015.2668151855469,6635.2076416015625,6300.2060546875,5862.0916748046875,5291.1539306640625,4614.1181640625
runtime_std(ms),851.4214557965356,612.7382845110836,629.7454067825332,650.2355460417263,664.1373365866913,625.9447236221723,645.3819259901344,659.5693865099648,678.0195702483354,690.1069472459453,658.3382063075925,680.4669329418618,717.234803202767,729.1666987215251,764.3899677197992
mem_mean(MB),223.762992,324.359848,424.837424,525.437696,626.192864,374.180044,676.018112,978.7905,1280.54834,1582.349768,854.023894,1859.522636,2863.749572,3869.260898,4873.493602
mem_std(MB),21.94494941621256,21.727640892854243,21.82613334468641,21.89493026304382,21.957857046064948,65.553249608845,65.51542447648553,65.64223884045967,65.55207459299527,65.55155561015052,218.34155394591687,218.39394260227343,218.37617450760155,218.40034175135077,218.3458115560152
