,Tc=1024 Tg=1024 cache_length=0,Tc=1024 Tg=1024 cache_length=256.0,Tc=1024 Tg=1024 cache_length=512.0,Tc=1024 Tg=1024 cache_length=768.0,Tc=1024 Tg=1024 cache_length=1024,Tc=512 Tg=512 cache_length=0,Tc=512 Tg=512 cache_length=128.0,Tc=512 Tg=512 cache_length=256.0,Tc=512 Tg=512 cache_length=384.0,Tc=512 Tg=512 cache_length=512,Tc=256 Tg=256 cache_length=0,Tc=256 Tg=256 cache_length=64.0,Tc=256 Tg=256 cache_length=128.0,Tc=256 Tg=256 cache_length=192.0,Tc=256 Tg=256 cache_length=256,Tc=128 Tg=128 cache_length=0,Tc=128 Tg=128 cache_length=32.0,Tc=128 Tg=128 cache_length=64.0,Tc=128 Tg=128 cache_length=96.0,Tc=128 Tg=128 cache_length=128
runtime_mean(ms),2055.8392639160156,2065.482208251953,2049.625030517578,2029.2462463378906,1993.3074188232422,500.71430587768555,528.2716369628906,543.856689453125,551.7262649536133,557.0901565551758,207.81670379638672,222.86368370056152,237.82568359375,253.7937068939209,268.49510192871094,103.19642353057861,110.3667631149292,118.3181676864624,126.57326793670654,133.35657691955566
runtime_std(ms),2.4702411655110224,2.2208530420295647,1.3826969520736299,1.7076169693318515,1.5638577164473582,1.83707292871733,1.8387809863375175,0.6248673708083792,1.1558089036892782,2.908717592142561,0.9565822138763165,1.5705633483325996,0.7137803685039764,1.4629679270969458,0.5185475815898574,0.50120084139161,0.6930466114291637,0.6162339564882165,1.902916659371461,0.3798937381452907
mem_mean(MB),174.097163,317.3924425,460.4861125,603.4558245,746.5535735,110.027221,147.921827,185.666467,223.411107,261.155747,92.732894,103.224838,113.685334,124.149962,134.63677,87.894384,91.071344,94.248304,97.425264,100.602224
mem_std(MB),30.980979522444393,30.752440495232793,30.54362143635125,30.311031215364476,30.073602934484885,8.21885180021291,8.285958560509881,8.285958560509881,8.285958560509881,8.285958560509881,2.297860980803669,2.3107371151206273,2.3171434752634545,2.272352040591422,2.255101228087999,0.806830244430636,0.806830244430636,0.806830244430636,0.806830244430636,0.806830244430636
